productname;date;farmprice;atlantaretail;chicagoretail;losangelesretail;newyorkretail;averagespread
Honeydews;2016-06-05;$1.08;$4.99;$3.04;$3.41;$3.99;257.18%
Green Leaf Lettuce;2016-06-05;$0.45;$1.32;$1.44;$1.39;$1.63;221.11%
Flame Grapes;2016-06-05;$1.05;$2.74;$1.94;$1.87;$2.49;115.24%
Celery;2016-06-05;$0.32;$1.56;$1.54;$1.94;$1.99;449.22%
Cauliflower;2016-06-05;$1.29;$3.23;$3.06;$2.63;$3.86;147.67%
Carrots;2016-06-05;$0.29;$0.95;$0.90;$0.99;$1.07;237.07%
Cantaloupe;2016-06-05;$0.46;$2.32;$2.22;$1.96;$2.62;395.65%
Broccoli Crowns;2016-06-05;$0.56;$1.74;$1.72;$1.62;$1.70;202.68%
Broccoli Bunches;2016-06-05;$0.89;$1.52;$1.77;$1.16;$1.08;55.34%
Avocados;2016-06-05;$0.81;$1.17;$1.18;$1.34;$1.67;65.43%
Strawberries;2016-05-29;$1.19;$2.24;$2.12;$2.62;$2.74;104.20%
Romaine Lettuce;2016-05-29;$0.54;$1.69;$1.88;$1.44;$2.08;228.24%
Red Leaf Lettuce;2016-05-29;$0.63;$1.48;$1.50;$1.44;$1.89;150.40%
Oranges;2016-05-29;$0.35;$1.30;$1.18;$1.24;$1.97;306.43%
Iceberg Lettuce;2016-05-29;$0.64;$1.36;$1.19;$1.37;$1.74;121.09%
Honeydews;2016-05-29;$1.17;$3.99;$3.17;$3.78;$3.99;219.02%
Green Leaf Lettuce;2016-05-29;$0.63;$1.48;$1.44;$1.44;$1.73;141.67%
Flame Grapes;2016-05-29;$1.05;$2.69;$2.06;$2.24;$2.36;122.62%
Celery;2016-05-29;$0.34;$1.56;$1.48;$1.94;$1.99;412.50%
Cauliflower;2016-05-29;$1.99;$3.23;$3.06;$2.98;$3.74;63.44%
Carrots;2016-05-29;$0.29;$1.17;$0.90;$0.99;$1.07;256.03%
Cantaloupe;2016-05-29;$0.52;$2.34;$2.47;$2.03;$2.99;372.60%
Broccoli Crowns;2016-05-29;$0.70;$1.74;$1.62;$1.72;$2.03;153.93%
Broccoli Bunches;2016-05-29;$1.05;$1.77;$1.33;$1.21;$1.73;43.81%
Avocados;2016-05-29;$0.81;$0.99;$1.26;$1.17;$1.05;37.96%
Strawberries;2016-05-22;$1.13;$2.50;$1.99;$3.00;$2.49;120.80%
Romaine Lettuce;2016-05-22;$0.54;$1.69;$1.97;$1.49;$1.83;223.15%
Red Leaf Lettuce;2016-05-22;$0.52;$1.49;$1.50;$1.49;$1.94;208.65%
Oranges;2016-05-22;$0.31;$1.57;$1.15;$1.24;$1.58;346.77%
Iceberg Lettuce;2016-05-22;$0.39;$1.36;$1.44;$1.39;$1.74;280.13%
Honeydews;2016-05-22;$1.37;$3.49;$3.24;$4.10;$4.99;188.69%
Green Leaf Lettuce;2016-05-22;$0.54;$1.65;$1.38;$1.49;$1.82;193.52%
Flame Grapes;2016-05-22;$1.22;$3.11;$2.49;$2.74;$2.99;132.17%
Celery;2016-05-22;$0.39;$1.61;$1.54;$1.94;$1.76;339.10%
Cauliflower;2016-05-22;$1.96;$2.99;$3.06;$3.13;$3.82;65.82%
Carrots;2016-05-22;$0.33;$0.95;$0.90;$0.99;$1.07;196.21%
Cantaloupe;2016-05-22;$0.62;$2.54;$2.37;$3.11;$2.87;339.11%
Broccoli Crowns;2016-05-22;$0.74;$1.81;$1.72;$1.66;$1.59;129.05%
Broccoli Bunches;2016-05-22;$1.03;$2.65;$1.58;$1.26;$2.50;93.93%
Avocados;2016-05-22;$0.83;$1.12;$1.05;$1.18;$1.25;38.55%
Strawberries;2016-05-15;$1.04;$3.24;$2.36;$2.87;$2.95;174.52%
Romaine Lettuce;2016-05-15;$0.79;$1.69;$1.88;$1.49;$2.16;128.48%
Red Leaf Lettuce;2016-05-15;$0.76;$1.49;$1.50;$1.49;$1.89;109.54%
Oranges;2016-05-15;$0.30;$1.23;$1.46;$1.12;$1.47;340.00%
Iceberg Lettuce;2016-05-15;$0.48;$1.36;$1.49;$1.49;$1.66;212.50%
Honeydews;2016-05-15;$1.50;$3.99;$3.33;$4.10;$3.74;152.67%
Green Leaf Lettuce;2016-05-15;$0.80;$1.49;$1.44;$1.49;$1.73;92.19%
Flame Grapes;2016-05-15;$1.44;$3.24;$2.24;$3.49;$2.99;107.64%
Celery;2016-05-15;$0.41;$1.56;$1.42;$1.94;$1.92;317.07%
Cauliflower;2016-05-15;$2.00;$2.94;$2.93;$2.78;$3.41;50.75%
Carrots;2016-05-15;$0.33;$1.00;$0.90;$0.99;$1.07;200.00%
Cantaloupe;2016-05-15;$0.67;$2.39;$2.37;$2.73;$2.87;286.57%
Broccoli Crowns;2016-05-15;$0.56;$1.81;$1.72;$1.66;$1.65;205.36%
Broccoli Bunches;2016-05-15;$0.75;$2.49;$1.82;$1.26;$2.54;170.33%
Avocados;2016-05-15;$0.83;$1.12;$1.11;$0.92;$1.33;34.94%
Strawberries;2016-05-08;$1.00;$2.69;$2.41;$2.87;$3.61;189.50%
Romaine Lettuce;2016-05-08;$0.93;$1.69;$1.86;$1.39;$1.89;83.60%
Red Leaf Lettuce;2016-05-08;$0.92;$1.49;$1.39;$1.39;$1.94;68.75%
Oranges;2016-05-08;$0.30;$1.44;$1.08;$1.12;$1.78;351.67%
Iceberg Lettuce;2016-05-08;$0.51;$1.36;$1.28;$1.39;$1.39;165.69%
Green Leaf Lettuce;2016-05-08;$0.87;$1.49;$1.28;$1.39;$1.82;71.84%
Flame Grapes;2016-05-08;$1.55;$3.21;$2.49;$3.66;$2.11;85.00%
Celery;2016-05-08;$0.40;$1.47;$1.42;$1.69;$1.99;310.63%
Cauliflower;2016-05-08;$1.93;$2.94;$2.93;$3.03;$3.49;60.49%
Carrots;2016-05-08;$0.37;$0.84;$1.15;$0.99;$1.07;173.65%
Cantaloupe;2016-05-08;$0.96;$2.39;$2.74;$2.11;$2.74;159.90%
Broccoli Crowns;2016-05-08;$0.47;$1.81;$1.72;$1.74;$1.37;253.19%
Broccoli Bunches;2016-05-08;$0.63;$2.49;$1.99;$1.24;$2.50;226.19%
Avocados;2016-05-08;$0.72;$1.00;$1.05;$0.92;$1.25;46.53%
Strawberries;2016-05-01;$1.42;$2.88;$2.36;$2.74;$2.49;84.33%
Romaine Lettuce;2016-05-01;$0.97;$1.44;$1.72;$1.36;$1.99;67.78%
Red Leaf Lettuce;2016-05-01;$0.95;$1.32;$1.28;$1.29;$1.78;49.21%
Potatoes;2016-05-01;$0.95;$5.04;$1.03;$3.99;$4.97;295.53%
Oranges;2016-05-01;$0.30;$1.23;$1.03;$2.53;$2.04;469.17%
Iceberg Lettuce;2016-05-01;$0.91;$1.36;$1.28;$1.29;$1.41;46.70%
Green Leaf Lettuce;2016-05-01;$0.95;$1.32;$1.23;$1.29;$1.63;43.95%
Celery;2016-05-01;$0.42;$1.47;$1.49;$1.69;$1.66;275.60%
Cauliflower;2016-05-01;$1.14;$2.74;$2.66;$3.03;$2.98;150.22%
Carrots;2016-05-01;$0.37;$0.84;$0.90;$0.99;$1.07;156.76%
Broccoli Crowns;2016-05-01;$0.51;$1.81;$1.82;$1.88;$2.04;270.10%
Broccoli Bunches;2016-05-01;$0.68;$2.65;$1.92;$0.99;$2.54;197.79%
Avocados;2016-05-01;$0.68;$1.06;$1.12;$0.92;$0.75;41.54%
Strawberries;2016-04-24;$1.69;$2.87;$2.31;$2.50;$4.32;77.51%
Romaine Lettuce;2016-04-24;$0.56;$1.62;$1.97;$1.29;$1.89;202.23%
Red Leaf Lettuce;2016-04-24;$0.65;$1.49;$1.28;$1.29;$1.94;130.77%
Potatoes;2016-04-24;$0.95;$5.07;$3.87;$3.99;$4.74;365.00%
Oranges;2016-04-24;$0.30;$1.44;$1.08;$0.92;$1.79;335.83%
Iceberg Lettuce;2016-04-24;$0.56;$1.29;$1.44;$1.29;$1.61;151.34%
Green Leaf Lettuce;2016-04-24;$0.60;$1.32;$1.17;$1.29;$1.82;133.33%
Celery;2016-04-24;$0.37;$1.56;$1.54;$1.94;$1.49;341.22%
Cauliflower;2016-04-24;$0.98;$3.11;$2.16;$3.13;$3.36;200.00%
Carrots;2016-04-24;$0.37;$0.84;$1.15;$0.99;$1.31;189.86%
Broccoli Crowns;2016-04-24;$0.50;$1.71;$1.71;$1.66;$1.40;224.00%
Avocados;2016-04-24;$0.54;$1.12;$1.24;$0.72;$1.47;110.65%
Asparagus;2016-04-24;$1.99;$3.75;$3.11;$2.99;$3.36;65.95%
Strawberries;2016-04-17;$1.65;$2.59;$2.23;$2.49;$3.11;57.88%
Romaine Lettuce;2016-04-17;$0.39;$1.56;$1.88;$1.32;$1.99;332.69%
Red Leaf Lettuce;2016-04-17;$0.46;$1.49;$1.21;$1.29;$1.82;215.76%
Potatoes;2016-04-17;$0.95;$5.07;$3.54;$3.99;$4.47;349.21%
Oranges;2016-04-17;$0.30;$1.18;$0.99;$1.12;$1.79;323.33%
Iceberg Lettuce;2016-04-17;$0.38;$1.19;$1.44;$1.29;$1.24;239.47%
Green Leaf Lettuce;2016-04-17;$0.43;$1.32;$1.17;$1.29;$1.67;216.86%
Celery;2016-04-17;$0.46;$1.56;$1.42;$1.94;$1.97;274.46%
Cauliflower;2016-04-17;$0.78;$2.86;$2.93;$2.98;$3.49;292.95%
Carrots;2016-04-17;$0.37;$0.97;$0.90;$0.99;$1.32;182.43%
Broccoli Crowns;2016-04-17;$0.45;$1.71;$1.79;$1.88;$1.73;295.00%
Broccoli Bunches;2016-04-17;$0.63;$2.56;$1.99;$0.99;$2.54;220.63%
Avocados;2016-04-17;$0.54;$1.19;$1.12;$0.99;$1.18;107.41%
Asparagus;2016-04-17;$1.99;$3.65;$2.74;$3.99;$3.24;71.11%
Strawberries;2016-04-10;$1.42;$2.52;$2.36;$2.61;$3.61;95.42%
Romaine Lettuce;2016-04-10;$0.39;$1.92;$1.97;$1.29;$1.89;353.21%
Red Leaf Lettuce;2016-04-10;$0.44;$1.32;$1.28;$1.29;$1.92;230.11%
Potatoes;2016-04-10;$0.95;$5.04;$3.54;$3.99;$3.94;334.47%
Oranges;2016-04-10;$0.30;$1.35;$1.08;$0.99;$1.97;349.17%
Iceberg Lettuce;2016-04-10;$0.36;$1.19;$1.44;$1.29;$1.66;287.50%
Green Leaf Lettuce;2016-04-10;$0.45;$1.32;$1.17;$1.29;$1.80;210.00%
Celery;2016-04-10;$0.38;$1.44;$1.24;$1.69;$1.74;301.97%
Cauliflower;2016-04-10;$1.39;$3.24;$2.81;$2.93;$3.49;124.28%
Broccoli Crowns;2016-04-10;$0.42;$1.87;$1.72;$1.67;$2.15;341.07%
Broccoli Bunches;2016-04-10;$0.58;$2.39;$1.82;$1.24;$2.19;229.31%
Avocados;2016-04-10;$0.54;$1.12;$1.18;$1.18;$1.48;129.63%
Asparagus;2016-04-10;$1.96;$3.32;$2.74;$3.74;$3.24;66.33%
Strawberries;2016-04-03;$1.33;$2.84;$2.74;$3.25;$3.11;124.44%
Romaine Lettuce;2016-04-03;$0.30;$1.56;$1.88;$1.34;$2.05;469.17%
Red Leaf Lettuce;2016-04-03;$0.29;$1.82;$1.28;$1.32;$1.89;443.97%
Potatoes;2016-04-03;$0.95;$5.04;$3.87;$3.99;$4.97;370.26%
Oranges;2016-04-03;$0.30;$1.01;$1.09;$0.99;$1.79;306.67%
Iceberg Lettuce;2016-04-03;$0.29;$1.19;$1.44;$1.34;$1.66;385.34%
Green Leaf Lettuce;2016-04-03;$0.30;$1.32;$1.23;$1.32;$1.73;366.67%
Celery;2016-04-03;$0.31;$1.56;$1.24;$1.94;$1.59;410.48%
Cauliflower;2016-04-03;$1.21;$2.86;$2.89;$2.58;$3.36;141.53%
Carrots;2016-04-03;$0.32;$0.95;$0.90;$0.99;$1.32;225.00%
Broccoli Crowns;2016-04-03;$0.38;$1.87;$1.72;$1.66;$1.48;342.76%
Broccoli Bunches;2016-04-03;$0.48;$2.56;$2.09;$1.16;$2.74;345.31%
Avocados;2016-04-03;$0.54;$1.11;$1.12;$1.11;$1.24;112.04%
Asparagus;2016-04-03;$1.78;$2.98;$2.86;$3.24;$3.49;76.54%
Strawberries;2016-03-27;$1.25;$3.06;$2.37;$2.62;$2.82;117.40%
Potatoes;2016-03-27;$1.00;$5.20;$1.05;$3.99;$1.79;200.75%
Oranges;2016-03-27;$0.33;$1.44;$1.05;$0.89;$1.79;291.67%
Red Leaf Lettuce;2016-03-27;$0.28;$1.29;$1.50;$1.32;$1.94;440.18%
Green Leaf Lettuce;2016-03-27;$0.28;$1.32;$1.38;$1.34;$1.69;411.61%
Romaine Lettuce;2016-03-27;$0.29;$1.50;$1.97;$1.34;$1.89;477.59%
Iceberg Lettuce;2016-03-27;$0.29;$1.24;$1.44;$1.34;$1.32;360.34%
Celery;2016-03-27;$0.32;$1.56;$1.66;$1.74;$1.67;417.97%
Cauliflower;2016-03-27;$0.74;$2.79;$2.91;$3.23;$3.33;314.19%
Carrots;2016-03-27;$0.31;$0.96;$0.94;$0.99;$1.07;219.35%
Broccoli Crowns;2016-03-27;$0.44;$1.87;$1.72;$1.74;$1.70;299.43%
Avocados;2016-03-27;$0.54;$1.32;$1.20;$1.31;$1.36;140.28%
Asparagus;2016-03-27;$1.67;$2.48;$2.32;$2.99;$2.22;49.85%
Avocados;2016-03-20;$0.58;$1.32;$1.07;$1.12;$1.53;117.24%
Asparagus;2016-03-20;$1.49;$2.48;$1.91;$2.12;$2.02;43.12%
Strawberries;2016-03-20;$1.25;$2.36;$2.25;$2.25;$2.81;93.40%
Romaine Lettuce;2016-03-20;$0.30;$1.50;$1.97;$1.34;$1.89;458.33%
Red Leaf Lettuce;2016-03-20;$0.27;$1.29;$1.50;$1.32;$1.94;460.19%
Potatoes;2016-03-20;$1.00;$5.20;$3.87;$3.99;$4.47;338.25%
Oranges;2016-03-20;$0.31;$1.57;$1.08;$1.12;$1.79;348.39%
Iceberg Lettuce;2016-03-20;$0.33;$1.24;$1.44;$1.34;$1.55;321.97%
Green Leaf Lettuce;2016-03-20;$0.28;$1.32;$1.38;$1.34;$1.69;411.61%
Celery;2016-03-20;$0.36;$1.56;$1.41;$1.74;$1.54;334.03%
Cauliflower;2016-03-20;$0.94;$2.79;$2.41;$2.73;$3.49;203.72%
Carrots;2016-03-20;$0.31;$0.78;$0.84;$0.99;$1.07;196.77%
Broccoli Crowns;2016-03-20;$0.56;$1.87;$1.72;$1.69;$1.70;211.61%
Iceberg Lettuce;2016-03-13;$0.35;$1.24;$1.44;$1.34;$1.61;302.14%
Oranges;2016-03-13;$0.31;$1.31;$1.03;$1.12;$1.79;323.39%
Potatoes;2016-03-13;$1.00;$5.20;$3.44;$3.99;$5.99;365.50%
Asparagus;2016-03-13;$1.47;$2.32;$2.79;$2.74;$2.84;81.80%
Red Leaf Lettuce;2016-03-13;$0.26;$1.32;$1.50;$1.32;$1.87;477.88%
Avocados;2016-03-13;$0.56;$1.15;$1.18;$1.11;$1.37;114.73%
Romaine Lettuce;2016-03-13;$0.30;$1.44;$1.88;$1.34;$1.99;454.17%
Broccoli Bunches;2016-03-13;$0.66;$2.56;$1.99;$1.34;$2.79;228.79%
Strawberries;2016-03-13;$1.38;$2.36;$1.87;$2.69;$3.19;83.15%
Broccoli Crowns;2016-03-13;$0.63;$1.81;$1.72;$1.77;$1.66;176.19%
Carrots;2016-03-13;$0.26;$0.78;$0.84;$0.99;$1.07;253.85%
Cauliflower;2016-03-13;$1.18;$2.79;$2.93;$2.98;$3.24;152.97%
Celery;2016-03-13;$0.47;$1.56;$1.66;$1.99;$1.59;261.70%
Green Leaf Lettuce;2016-03-13;$0.26;$1.32;$1.44;$1.32;$1.71;456.73%
Red Leaf Lettuce;2016-03-06;$0.26;$1.29;$1.55;$1.32;$1.92;484.62%
Avocados;2016-03-06;$0.57;$1.19;$1.11;$1.36;$1.37;120.61%
Romaine Lettuce;2016-03-06;$0.28;$1.50;$2.00;$1.37;$1.94;508.04%
Broccoli Bunches;2016-03-06;$0.43;$2.82;$2.09;$1.26;$2.99;432.56%
Strawberries;2016-03-06;$1.09;$1.99;$2.29;$2.87;$2.87;129.82%
Broccoli Crowns;2016-03-06;$0.35;$1.64;$1.64;$1.76;$1.79;387.86%
Carrots;2016-03-06;$0.31;$0.84;$0.84;$0.99;$1.07;201.61%
Cauliflower;2016-03-06;$0.69;$2.86;$2.86;$2.78;$2.99;316.30%
Celery;2016-03-06;$0.51;$1.56;$1.67;$1.74;$2.04;243.63%
Green Leaf Lettuce;2016-03-06;$0.26;$1.32;$1.42;$1.32;$1.80;463.46%
Iceberg Lettuce;2016-03-06;$0.29;$1.24;$1.49;$1.37;$1.66;396.55%
Oranges;2016-03-06;$0.33;$1.66;$1.23;$1.24;$1.79;348.48%
Potatoes;2016-03-06;$1.05;$5.20;$3.77;$3.99;$4.47;315.00%
Strawberries;2016-02-28;$1.00;$2.52;$2.62;$3.37;$2.99;187.50%
Broccoli Crowns;2016-02-28;$0.34;$1.64;$1.72;$1.69;$1.65;392.65%
Carrots;2016-02-28;$0.31;$0.84;$0.90;$0.99;$1.09;208.06%
Cauliflower;2016-02-28;$0.70;$2.82;$2.99;$3.13;$3.11;330.36%
Celery;2016-02-28;$0.53;$;$1.92;$1.99;$1.72;165.57%
Green Leaf Lettuce;2016-02-28;$0.25;$1.32;$1.48;$1.32;$1.73;485.00%
Iceberg Lettuce;2016-02-28;$0.28;$1.24;$1.54;$1.37;$1.74;425.89%
Oranges;2016-02-28;$0.33;$1.40;$1.07;$1.24;$1.79;316.67%
Potatoes;2016-02-28;$1.05;$5.84;$3.64;$3.99;$4.99;339.52%
Red Leaf Lettuce;2016-02-28;$0.26;$1.32;$1.61;$1.34;$1.89;492.31%
Avocados;2016-02-28;$0.57;$1.19;$1.26;$1.12;$1.42;118.86%
Romaine Lettuce;2016-02-28;$0.29;$1.56;$1.91;$1.37;$1.94;484.48%
Broccoli Bunches;2016-02-28;$0.42;$2.66;$2.09;$1.34;$0.00;262.50%
Cauliflower;2016-02-21;$0.74;$3.19;$3.11;$2.98;$2.99;314.53%
Celery;2016-02-21;$0.60;$1.61;$2.04;$1.74;$1.92;204.58%
Green Leaf Lettuce;2016-02-21;$0.29;$1.32;$1.42;$1.54;$1.82;425.86%
Iceberg Lettuce;2016-02-21;$0.34;$1.22;$1.49;$1.57;$1.74;342.65%
Oranges;2016-02-21;$0.33;$5.84;$1.61;$1.09;$1.79;682.58%
Potatoes;2016-02-21;$1.05;$5.84;$3.59;$3.99;$4.99;338.33%
Red Leaf Lettuce;2016-02-21;$0.29;$1.29;$1.55;$1.54;$1.94;444.83%
Avocados;2016-02-21;$0.57;$1.24;$1.24;$1.18;$1.42;122.81%
Romaine Lettuce;2016-02-21;$0.30;$1.61;$2.00;$1.57;$1.92;491.67%
Broccoli Bunches;2016-02-21;$0.43;$2.66;$1.92;$1.26;$2.99;413.37%
Strawberries;2016-02-21;$1.75;$3.12;$2.62;$2.61;$2.99;62.00%
Broccoli Crowns;2016-02-21;$0.34;$1.57;$1.89;$1.64;$1.66;397.06%
Carrots;2016-02-21;$0.31;$0.84;$0.90;$0.99;$1.07;206.45%
Green Leaf Lettuce;2016-02-14;$0.33;$1.73;$1.32;$1.46;$1.57;360.61%
Iceberg Lettuce;2016-02-14;$0.67;$1.66;$1.31;$1.36;$1.57;120.15%
Oranges;2016-02-14;$0.33;$1.62;$1.40;$1.28;$0.96;298.48%
Potatoes;2016-02-14;$1.05;$4.99;$5.20;$3.44;$3.99;319.52%
Red Leaf Lettuce;2016-02-14;$0.33;$1.89;$1.32;$1.52;$1.57;377.27%
Romaine Lettuce;2016-02-14;$0.35;$1.94;$1.49;$1.91;$1.57;393.57%
Avocados;2016-02-14;$0.57;$1.33;$1.25;$1.33;$1.03;116.67%
Strawberries;2016-02-14;$2.00;$3.62;$3.87;$3.27;$4.12;86.00%
Broccoli Crowns;2016-02-14;$0.38;$1.65;$1.87;$1.86;$1.74;368.42%
Carrots;2016-02-14;$0.31;$1.09;$0.96;$0.90;$0.99;217.74%
Cauliflower;2016-02-14;$1.27;$3.31;$3.61;$3.81;$3.23;174.80%
Celery;2016-02-14;$0.80;$1.64;$1.65;$2.04;$1.99;128.75%
Oranges;2016-02-07;$0.36;$1.71;$1.18;$1.09;$1.70;294.44%
Potatoes;2016-02-07;$1.05;$5.11;$4.09;$3.99;$5.47;344.29%
Red Leaf Lettuce;2016-02-07;$0.35;$1.29;$1.50;$1.62;$1.94;353.57%
Avocados;2016-02-07;$0.57;$1.18;$0.89;$1.16;$1.47;106.14%
Romaine Lettuce;2016-02-07;$0.40;$1.61;$1.97;$1.62;$1.99;349.38%
Broccoli Bunches;2016-02-07;$0.49;$2.82;$2.15;$0.99;$1.69;290.31%
Strawberries;2016-02-07;$2.75;$3.49;$3.24;$4.49;$5.11;48.45%
Broccoli Crowns;2016-02-07;$0.40;$1.87;$1.79;$1.87;$1.79;357.50%
Carrots;2016-02-07;$0.33;$0.96;$0.90;$0.99;$1.07;196.97%
Cauliflower;2016-02-07;$1.37;$3.11;$2.93;$3.13;$3.56;132.30%
Celery;2016-02-07;$0.77;$1.74;$1.99;$1.99;$2.49;166.56%
Green Leaf Lettuce;2016-02-07;$0.35;$1.32;$1.38;$1.62;$1.82;338.57%
Iceberg Lettuce;2016-02-07;$0.45;$1.24;$1.86;$1.62;$1.74;258.89%
Broccoli Crowns;2016-01-31;$0.36;$1.85;$1.92;$1.87;$1.82;418.06%
Red Leaf Lettuce;2016-01-31;$0.32;$1.32;$1.58;$1.67;$2.00;413.28%
Romaine Lettuce;2016-01-31;$0.40;$1.56;$1.91;$1.67;$2.08;351.25%
Strawberries;2016-01-31;$3.00;$3.93;$3.62;$4.74;$4.86;42.92%
Broccoli Crowns;2016-01-31;$0.36;$1.85;$1.92;$1.87;$1.82;418.06%
Carrots;2016-01-31;$0.33;$0.96;$0.91;$0.00;$1.07;122.73%
Cauliflower;2016-01-31;$0.94;$3.41;$4.11;$3.98;$3.31;293.88%
Celery;2016-01-31;$0.78;$1.66;$2.15;$2.14;$2.33;165.38%
Green Leaf Lettuce;2016-01-31;$0.34;$1.32;$1.44;$1.67;$1.84;361.03%
Iceberg Lettuce;2016-01-31;$0.32;$1.36;$1.99;$1.67;$1.66;421.88%
Oranges;2016-01-31;$0.38;$1.04;$1.03;$1.09;$1.70;219.74%
Potatoes;2016-01-31;$1.05;$5.77;$4.10;$3.99;$4.99;348.81%
Avocados;2016-01-31;$0.57;$0.91;$0.83;$0.82;$1.16;63.16%
Broccoli Bunches;2016-01-31;$0.50;$2.89;$2.15;$1.39;$1.64;303.50%
Strawberries;2016-01-24;$2.88;$3.96;$3.83;$4.49;$4.86;48.78%
Broccoli Crowns;2016-01-24;$0.39;$1.88;$1.70;$1.99;$2.85;439.74%
Carrots;2016-01-24;$0.31;$0.90;$0.90;$0.99;$1.31;230.65%
Cauliflower;2016-01-24;$0.67;$3.61;$3.86;$3.56;$3.81;453.73%
Celery;2016-01-24;$1.59;$1.81;$2.16;$2.14;$2.12;29.40%
Green Leaf Lettuce;2016-01-24;$0.43;$1.49;$1.38;$1.67;$1.84;270.93%
Iceberg Lettuce;2016-01-24;$0.40;$1.36;$1.99;$1.67;$1.82;327.50%
Oranges;2016-01-24;$0.38;$1.62;$1.23;$1.29;$1.82;292.11%
Potatoes;2016-01-24;$1.05;$5.84;$4.09;$3.99;$3.94;325.24%
Red Leaf Lettuce;2016-01-24;$0.40;$1.74;$1.58;$1.67;$2.00;336.88%
Romaine Lettuce;2016-01-24;$0.48;$1.80;$2.02;$1.67;$2.27;304.17%
Broccoli Crowns;2016-01-17;$0.60;$2.22;$1.97;$2.26;$2.66;279.58%
Carrots;2016-01-17;$0.31;$0.96;$1.06;$0.99;$1.14;234.68%
Cauliflower;2016-01-17;$0.69;$3.49;$4.11;$4.38;$5.48;532.61%
Celery;2016-01-17;$1.84;$1.89;$2.14;$2.14;$1.73;7.34%
Green Leaf Lettuce;2016-01-17;$0.56;$1.32;$1.44;$1.67;$1.84;179.91%
Iceberg Lettuce;2016-01-17;$0.70;$1.61;$1.99;$1.67;$1.82;153.21%
Oranges;2016-01-17;$0.41;$1.36;$1.45;$1.24;$1.82;257.93%
Potatoes;2016-01-17;$1.05;$5.84;$4.07;$3.24;$6.99;379.52%
Red Leaf Lettuce;2016-01-17;$0.51;$1.49;$1.58;$1.67;$2.00;230.39%
Romaine Lettuce;2016-01-17;$0.70;$1.61;$1.93;$1.67;$2.20;164.64%
Broccoli Bunches;2016-01-17;$0.77;$2.72;$2.49;$1.74;$2.99;222.73%
Strawberries;2016-01-17;$2.75;$3.15;$3.24;$3.32;$4.99;33.64%
Carrots;2016-01-10;$0.31;$0.96;$0.90;$0.99;$1.07;216.13%
Cauliflower;2016-01-10;$0.97;$3.37;$3.99;$4.41;$4.32;314.69%
Celery;2016-01-10;$1.89;$1.95;$2.31;$1.89;$2.33;12.17%
Green Leaf Lettuce;2016-01-10;$0.74;$1.32;$1.38;$1.67;$1.84;109.80%
Iceberg Lettuce;2016-01-10;$1.13;$1.61;$1.99;$1.67;$1.79;56.19%
Oranges;2016-01-10;$0.41;$1.37;$0.90;$1.21;$1.70;215.85%
Potatoes;2016-01-10;$1.05;$5.77;$4.07;$3.74;$5.47;353.57%
Red Leaf Lettuce;2016-01-10;$0.67;$1.32;$1.58;$1.67;$2.00;145.15%
Romaine Lettuce;2016-01-10;$0.88;$1.75;$2.02;$1.67;$2.05;112.78%
Broccoli Bunches;2016-01-10;$1.12;$2.72;$2.59;$1.74;$2.68;117.19%
Strawberries;2016-01-10;$2.63;$3.36;$2.99;$4.16;$3.99;37.83%
Broccoli Crowns;2016-01-10;$1.13;$2.22;$2.08;$2.39;$2.72;108.19%
Celery;2016-01-03;$1.74;$1.59;$1.92;$1.89;$1.99;6.18%
Green Leaf Lettuce;2016-01-03;$0.72;$1.32;$1.48;$1.67;$1.81;118.06%
Iceberg Lettuce;2016-01-03;$1.13;$1.49;$1.74;$1.67;$1.81;48.45%
Oranges;2016-01-03;$0.42;$1.36;$1.35;$0.99;$1.70;221.43%
Potatoes;2016-01-03;$1.05;$5.77;$4.07;$3.99;$6.99;395.71%
Red Leaf Lettuce;2016-01-03;$0.64;$1.49;$1.67;$1.67;$1.93;164.06%
Romaine Lettuce;2016-01-03;$0.78;$1.56;$2.09;$1.67;$1.95;133.01%
Broccoli Bunches;2016-01-03;$1.22;$2.41;$2.59;$1.74;$2.99;99.39%
Strawberries;2016-01-03;$2.63;$2.99;$3.12;$4.12;$3.99;35.17%
Broccoli Crowns;2016-01-03;$1.46;$2.14;$2.27;$2.39;$2.03;51.20%
Carrots;2016-01-03;$0.31;$0.95;$0.85;$0.99;$1.07;211.29%
Cauliflower;2016-01-03;$2.61;$4.99;$4.74;$4.93;$6.24;100.19%
Green Leaf Lettuce;2015-12-27;$0.61;$1.65;$1.42;$1.67;$1.75;165.98%
Iceberg Lettuce;2015-12-27;$0.92;$1.49;$1.74;$1.67;$1.76;80.98%
Oranges;2015-12-27;$0.42;$1.75;$1.27;$1.26;$1.65;252.98%
Potatoes;2015-12-27;$1.05;$5.71;$3.88;$3.99;$4.32;326.19%
Red Leaf Lettuce;2015-12-27;$0.56;$1.55;$1.62;$1.67;$1.93;202.23%
Romaine Lettuce;2015-12-27;$0.53;$1.65;$2.08;$1.74;$2.76;288.21%
Broccoli Bunches;2015-12-27;$1.18;$2.66;$2.42;$1.59;$2.48;93.86%
Strawberries;2015-12-27;$2.63;$3.36;$3.74;$4.49;$3.61;44.49%
Broccoli Crowns;2015-12-27;$1.27;$2.01;$1.89;$2.22;$2.12;62.20%
